4th Quarter 2025,,,,,,,,,,,,,,,,
,,Gasoline,Special,Gasohol,Propane,LNG,CNG,Ethanol,Methanol,E-85,M-85,A55,Biodiesel,Electricity,Hydrogen,Hythane
,,,Diesel,,,,,,,,,,,,,
ALBERTA #14,U.S.,$ 0.3567 ,$ 0.3567 ,$ 0.3567 ,$ 0.2579 ,$-,$-,$ 0.3567 ,$ 0.3567 ,$ 0.3567 ,$ 0.3567 ,$ 0.3567 ,$ 0.3567 ,$-,$-,$-
,Can,$ 0.1300 ,$ 0.1300 ,$ 0.1300 ,$ 0.0940 ,$-,$-,$ 0.1300 ,$ 0.1300 ,$ 0.1300 ,$ 0.1300 ,$ 0.1300 ,$ 0.1300 ,$-,$-,$-
,,,,,,,,,,,,,,,,
BRITISH COLUMBIA #13,U.S.,$ 0.3978 ,$ 0.4115 ,$ 0.3978 ,$ 0.0741 ,$-,$-,$ 0.3978 ,$-,$ 0.3978 ,$-,$ 0.4115 ,$ 0.4115 ,$-,$-,$-
,Can,$ 0.1450 ,$ 0.1500 ,$ 0.1450 ,$ 0.0270 ,$-,$-,$ 0.1450 ,$-,$ 0.1450 ,$-,$ 0.1500 ,$ 0.1500 ,$-,$-,$-
,,,,,,,,,,,,,,,,
MANITOBA #17,U.S.,$ 0.3429 ,$ 0.3429 ,$ 0.3429 ,$ 0.0823 ,$ 0.2469 ,$ 0.2469 ,$ 0.3429 ,$ 0.3429 ,$ 0.3429 ,$ 0.3429 ,$ 0.3429 ,$ 0.3429 ,$-,$-,$ 0.3429 
,Can,$ 0.1250 ,$ 0.1250 ,$ 0.1250 ,$ 0.0300 ,$ 0.0900 ,$ 0.0900 ,$ 0.1250 ,$ 0.1250 ,$ 0.1250 ,$ 0.1250 ,$ 0.1250 ,$ 0.1250 ,$-,$-,$ 0.1250 
,,,,,,,,,,,,,,,,
NEW BRUNSWICK ,U.S.,$ 0.2982 ,$ 0.4239 ,$ 0.2982 ,$ 0.1838 ,$ 0.4239 ,$ 0.4239 ,$ 0.2982 ,$ 0.2982 ,$ 0.2982 ,$ 0.2982 ,$ 0.4239 ,$ 0.4239 ,$-,$-,$-
,Can,$ 0.1087 ,$ 0.1545 ,$ 0.1087 ,$ 0.0670 ,$ 0.1545 ,$ 0.1545 ,$ 0.1087 ,$ 0.1087 ,$ 0.1087 ,$ 0.1087 ,$ 0.1545 ,$ 0.1545 ,$-,$-,$-
,,,,,,,,,,,,,,,,
NEWFOUNDLAND ,U.S.,$ 0.2058 ,$ 0.2606 ,$-,$ 0.1921 ,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-
,Can,$ 0.0750 ,$ 0.0950 ,$-,$ 0.0700 ,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-
,,,,,,,,,,,,,,,,
NOVA SCOTIA ,U.S.,$ 0.4252 ,$ 0.4225 ,$ 0.4252 ,$ 0.1921 ,$ 0.4225 ,$ 0.4225 ,$-,$-,$-,$-,$-,$ 0.4225 ,$-,$-,$-
,Can,$ 0.1550 ,$ 0.1540 ,$ 0.1550 ,$ 0.0700 ,$ 0.1540 ,$ 0.1540 ,$-,$-,$-,$-,$-,$ 0.1540 ,$-,$-,$-
,,,,,,,,,,,,,,,,
ONTARIO #5,U.S.,$ 0.2469 ,$ 0.2469 ,$ 0.2469 ,$-,$-,$-,$ 0.2469 ,$-,$ 0.2469 ,$ 0.2469 ,$ 0.2469 ,$ 0.2469 ,$-,$-,$-
,Can,$ 0.0900 ,$ 0.0900 ,$ 0.0900 ,$-,$-,$-,$ 0.0900 ,$-,$ 0.0900 ,$ 0.0900 ,$ 0.0900 ,$ 0.0900 ,$-,$-,$-
,,,,,,,,,,,,,,,,
PRINCE EDWARD ISLAND #27,U.S.,$ 0.2324 ,$ 0.3882 ,$ 0.2324 ,$-,$ 0.4189 ,$ 0.2324 ,$ 0.2324 ,$ 0.2324 ,$ 0.2324 ,$ 0.2324 ,$ 0.2324 ,$-,$-,$-,$-
,Can,$ 0.0847 ,$ 0.1415 ,$ 0.0847 ,$-,$ 0.1527 ,$ 0.0847 ,$ 0.0847 ,$ 0.0847 ,$ 0.0847 ,$ 0.0847 ,$ 0.0847 ,$-,$-,$-,$-
,,,,,,,,,,,,,,,,
QUEBEC ,U.S.,$ 0.5267 ,$ 0.5542 ,$ 0.5267 ,$-,$-,$-,$ 0.5542 ,$ 0.5267 ,$ 0.5542 ,$ 0.5267 ,$ 0.5542 ,$ 0.5542 ,$-,$-,$-
,Can,$ 0.1920 ,$ 0.2020 ,$ 0.1920 ,$-,$-,$-,$ 0.2020 ,$ 0.1920 ,$ 0.2020 ,$ 0.1920 ,$ 0.2020 ,$ 0.2020 ,$-,$-,$-
,,,,,,,,,,,,,,,,
SASKATCHEWAN ,U.S.,$ 0.4115 ,$ 0.4115 ,$ 0.4115 ,$ 0.2469 ,$-,$-,$ 0.4115 ,$ 0.4115 ,$ 0.4115 ,$ 0.4115 ,$ 0.4115 ,$ 0.4115 ,$-,$-,$-
,Can,$ 0.1500 ,$ 0.1500 ,$ 0.1500 ,$ 0.0900 ,$-,$-,$ 0.1500 ,$ 0.1500 ,$ 0.1500 ,$ 0.1500 ,$ 0.1500 ,$ 0.1500 ,$-,$-,$-
,,,,,,,,,,,,,,,,
ALABAMA #35,U.S.,$ 0.3000 ,$ 0.3100 ,$ 0.3000 ,$ 0.3100 ,$ 0.1300 ,$ 0.1300 ,$ 0.3000 ,$ 0.3000 ,$ 0.3000 ,$ 0.3000 ,$ 0.3000 ,$ 0.3100 ,$-,$-,$-
