jurisdiction,total_miles,taxable_miles,tax_paid_gallons,taxable_gallons,net_taxable_gallons,tax_rate,tax_due
AL,534.0,534.0,0.0,82.797,82.797,0.3,24.84
AR,1176.0,1176.0,269.0,182.34,-86.66,0.285,-24.7
AZ,13496.0,13496.0,3766.0,2092.567,-1673.433,0.26,-435.09
CA,44645.0,44645.0,3985.0,6922.247,2937.247,1.023,3004.8
CO,524.0,524.0,115.0,81.247,-33.753,0.285,-9.62
FL,435.0,435.0,105.0,67.447,-37.553,0.4027,-15.12
GA,751.0,751.0,0.0,116.443,116.443,0.371,43.2
IA,647.0,647.0,108.0,100.318,-7.682,0.325,-2.5
ID,2886.0,2886.0,197.0,447.477,250.477,0.32,80.15
IL,575.0,575.0,0.0,89.154,89.154,0.736,65.62
IN,158.0,158.0,0.0,24.498,24.498,0.59,14.45
KS,107.0,107.0,0.0,16.59,16.59,0.26,4.31
KY,308.0,308.0,113.0,47.756,-65.244,0.234,-15.27
MO,1157.0,1157.0,120.0,179.394,59.394,0.27,16.04
MS,241.0,241.0,33.0,37.367,4.367,0.18,0.79
MT,1058.0,1058.0,282.0,164.044,-117.956,0.2975,-35.09
NC,71.0,71.0,0.0,11.009,11.009,0.403,4.44
NE,2386.0,2386.0,214.0,369.951,155.951,0.304,47.41
NM,2649.0,2649.0,465.0,410.73,-54.27,0.21,-11.4
NV,15591.0,15591.0,3669.0,2417.398,-1251.602,0.27,-337.93
OH,317.0,317.0,0.0,49.151,49.151,0.47,23.1
OK,1619.0,1619.0,532.0,251.027,-280.973,0.19,-53.38
OR,8015.0,8015.0,1289.0,1242.733,-46.267,0.0,-0.0
SC,266.0,266.0,114.0,41.244,-72.756,0.28,-20.37
TN,469.0,469.0,122.0,72.719,-49.281,0.27,-13.31
TX,3332.0,3332.0,646.0,516.63,-129.37,0.2,-25.87
UT,2898.0,2898.0,169.0,449.337,280.337,0.385,107.93
WA,1985.0,1985.0,0.0,307.776,307.776,0.494,152.04
WI,171.0,171.0,71.0,26.514,-44.486,0.329,-14.64
WY,2058.0,2058.0,753.0,319.095,-433.905,0.24,-104.14
TOTAL,110525.0,110525.0,17137.0,17137.0,,6.4495,2470.69
