WARNING,"2Q2026 IFTA rates were not published, so calculations used 1Q2026 rates. Do not file until the current-quarter rate matrix is confirmed."
DO_NOT_FILE,Confirm the current-quarter IFTA rate matrix before portal submission.

Jurisdiction,Surcharge,Fuel Type,Total Miles,Taxable Miles,MPG,Taxable Gal,Tax Paid Gal,Net Taxable Gal,Rate,Tax,Interest,Total
AL,,Diesel,1980,1980,6.83,290,107,183,0.3100,56.73,0.00,56.73
AR,,Diesel,1194,1194,6.83,175,250,-75,0.2850,-21.38,0.00,-21.38
AZ,,Diesel,4245,4245,6.83,622,308,314,0.2600,81.64,0.00,81.64
CA,,Diesel,6449,6449,6.83,944,877,67,0.9710,65.06,0.00,65.06
CO,,Diesel,1949,1949,6.83,285,113,172,0.3250,55.90,0.00,55.90
FL,,Diesel,4311,4311,6.83,631,369,262,0.4027,105.51,0.00,105.51
GA,,Diesel,4287,4287,6.83,628,841,-213,0.3710,-79.02,0.00,-79.02
IA,,Diesel,1640,1640,6.83,240,438,-198,0.3250,-64.35,0.00,-64.35
ID,,Diesel,2562,2562,6.83,375,439,-64,0.3200,-20.48,0.00,-20.48
IL,,Diesel,2916,2916,6.83,427,281,146,0.7380,107.75,0.00,107.75
IN,,Diesel,3585,3585,6.83,525,667,-142,0.6100,-86.62,0.00,-86.62
KS,,Diesel,3900,3900,6.83,571,647,-76,0.2600,-19.76,0.00,-19.76
KY,,Diesel,4757,4757,6.83,696,878,-182,0.2200,-40.04,0.00,-40.04
KY,Surcharge,Diesel,0,0,0.00,696,0,696,0.1050,73.08,0.00,73.08
LA,,Diesel,1099,1099,6.83,161,121,40,0.2000,8.00,0.00,8.00
MD,,Diesel,1757,1757,6.83,257,355,-98,0.4675,-45.82,0.00,-45.82
MI,,Diesel,73,73,6.83,11,0,11,0.5240,5.76,0.00,5.76
MN,,Diesel,3113,3113,6.83,456,743,-287,0.3260,-93.56,0.00,-93.56
MO,,Diesel,2957,2957,6.83,433,366,67,0.2950,19.77,0.00,19.77
MS,,Diesel,3476,3476,6.83,509,314,195,0.2100,40.95,0.00,40.95
MT,,Diesel,1333,1333,6.83,195,177,18,0.2975,5.36,0.00,5.36
NC,,Diesel,4506,4506,6.83,660,1173,-513,0.4100,-210.33,0.00,-210.33
NE,,Diesel,1488,1488,6.83,218,163,55,0.3180,17.49,0.00,17.49
NM,,Diesel,2194,2194,6.83,321,525,-204,0.2100,-42.84,0.00,-42.84
NV,,Diesel,4036,4036,6.83,591,689,-98,0.2700,-26.46,0.00,-26.46
NY,,Diesel,1461,1461,6.83,214,153,61,0.3805,23.21,0.00,23.21
OH,,Diesel,6346,6346,6.83,929,414,515,0.4700,242.05,0.00,242.05
OK,,Diesel,4146,4146,6.83,607,738,-131,0.1900,-24.89,0.00,-24.89
OR,,Diesel,2290,2290,6.83,335,319,16,0.0000,0.00,0.00,0.00
PA,,Diesel,3704,3704,6.83,542,671,-129,0.7410,-95.59,0.00,-95.59
SC,,Diesel,3642,3642,6.83,533,583,-50,0.2800,-14.00,0.00,-14.00
SD,,Diesel,1662,1662,6.83,243,209,34,0.2800,9.52,0.00,9.52
TN,,Diesel,6255,6255,6.83,916,874,42,0.2700,11.34,0.00,11.34
TX,,Diesel,4952,4952,6.83,725,980,-255,0.2000,-51.00,0.00,-51.00
UT,,Diesel,1470,1470,6.83,215,457,-242,0.3790,-91.72,0.00,-91.72
VA,,Diesel,5423,5423,6.83,794,211,583,0.3270,190.64,0.00,190.64
VA,Surcharge,Diesel,0,0,0.00,794,0,794,0.1430,113.54,0.00,113.54
WA,,Diesel,3779,3779,6.83,553,499,54,0.5840,31.54,0.00,31.54
WI,,Diesel,567,567,6.83,83,151,-68,0.3290,-22.37,0.00,-22.37
WV,,Diesel,4332,4332,6.83,634,549,85,0.3570,30.35,0.00,30.35
WY,,Diesel,630,630,6.83,92,0,92,0.2400,22.08,0.00,22.08
TOTAL,,,120466,120466,,,,,,267.04,0.00,267.04
