Jurisdiction,Surcharge,Fuel Type,Total Miles,Taxable Miles,MPG,Taxable Gal,Tax Paid Gal,Net Taxable Gal,Rate,Tax,Interest,Total
AL,,2. Diesel,189,189,7.31,26,0,26,0.3100,8.06,0.00,8.06
AR,,2. Diesel,285,285,7.31,39,0,39,0.2850,11.12,0.00,11.12
AZ,,2. Diesel,2728,2728,7.31,373,789,-416,0.2600,-108.16,0.00,-108.16
CA,,2. Diesel,8151,8151,7.31,1115,227,888,0.9710,862.25,0.00,862.25
GA,,2. Diesel,284,284,7.31,39,0,39,0.3710,14.47,0.00,14.47
IA,,2. Diesel,514,514,7.31,70,0,70,0.3250,22.75,0.00,22.75
ID,,2. Diesel,73,73,7.31,10,0,10,0.3200,3.20,0.00,3.20
IL,,2. Diesel,627,627,7.31,86,0,86,0.7490,64.41,0.00,64.41
IN,,2. Diesel,704,704,7.31,96,0,96,0.6100,58.56,0.00,58.56
KS,,2. Diesel,243,243,7.31,33,236,-203,0.2600,-52.78,0.00,-52.78
KY,,2. Diesel,584,584,7.31,80,0,80,0.2200,17.60,0.00,17.60
KY,Surcharge,2. Diesel,0,0,0.00,80,0,80,0.1050,8.40,0.00,8.40
MN,,2. Diesel,1146,1146,7.31,157,224,-67,0.3180,-21.31,0.00,-21.31
MO,,2. Diesel,297,297,7.31,41,0,41,0.2950,12.10,0.00,12.10
MS,,2. Diesel,118,118,7.31,16,0,16,0.2100,3.36,0.00,3.36
MT,,2. Diesel,661,661,7.31,90,220,-130,0.2975,-38.68,0.00,-38.68
NC,,2. Diesel,293,293,7.31,40,0,40,0.4030,16.12,0.00,16.12
ND,,2. Diesel,352,352,7.31,48,0,48,0.2300,11.04,0.00,11.04
NM,,2. Diesel,766,766,7.31,105,404,-299,0.2100,-62.79,0.00,-62.79
NV,,2. Diesel,3134,3134,7.31,429,599,-170,0.2700,-45.90,0.00,-45.90
OH,,2. Diesel,82,82,7.31,11,0,11,0.4700,5.17,0.00,5.17
OK,,2. Diesel,571,571,7.31,78,0,78,0.1900,14.82,0.00,14.82
OR,,2. Diesel,2295,2295,7.31,314,532,-218,0.0000,-0.00,0.00,-0.00
SC,,2. Diesel,31,31,7.31,4,0,4,0.2800,1.12,0.00,1.12
SD,,2. Diesel,899,899,7.31,123,0,123,0.2800,34.44,0.00,34.44
TN,,2. Diesel,499,499,7.31,68,218,-150,0.2700,-40.50,0.00,-40.50
TX,,2. Diesel,1166,1166,7.31,160,0,160,0.2000,32.00,0.00,32.00
UT,,2. Diesel,994,994,7.31,136,0,136,0.3850,52.36,0.00,52.36
VA,,2. Diesel,67,67,7.31,9,0,9,0.3270,2.94,0.00,2.94
VA,Surcharge,2. Diesel,0,0,0.00,9,0,9,0.1430,1.29,0.00,1.29
WA,,2. Diesel,553,553,7.31,76,0,76,0.5840,44.38,0.00,44.38
WI,,2. Diesel,479,479,7.31,66,210,-144,0.3290,-47.38,0.00,-47.38
WV,,2. Diesel,161,161,7.31,22,217,-195,0.3570,-69.62,0.00,-69.62
WY,,2. Diesel,1000,1000,7.31,137,219,-82,0.2400,-19.68,0.00,-19.68
TOTAL,,,29946,29946,,,,,,795.16,0.00,795.16
